,name,start,train_duration,converged,features,wF1t,wPt,wRt,mF1t,mPt,mRt,MF1t,MPt,MRt,acct,train_occurs,validation_occurs,test_occurs
0,Education Review Sentiment: albanian add emotion topic: 1,2023-05-08 11:32:18.533299,00:01:33,4,"transformer_trainable_embedding, emotion, topic, label",0.46752404768520367,0.42765793528505397,0.576271186440678,0.576271186440678,0.576271186440678,0.576271186440678,0.26788966952901383,0.2863636363636364,0.3198249619482496,0.576271186440678,927,118,118
1,Education Review Sentiment: en_fasttext_news_300_embedding: 1,2023-05-24 11:32:01.258517,00:00:24,43,"fasttext_news_300_embedding, emotion, topic, label",0.7154398336038961,0.7207971256684492,0.75,0.75,0.75,0.75,0.5358044733044732,0.6164587046939988,0.5407407407407407,0.75,496,64,64
2,Education Review Sentiment: sq_transformer_trainable_embedding: 1,2023-05-08 11:23:17.104979,00:02:55,9,"transformer_trainable_embedding, label",0.6505750605326877,0.6689725083123834,0.6864406779661016,0.6864406779661016,0.6864406779661016,0.6864406779661016,0.5390211640211641,0.6391281233386495,0.5122852794085672,0.6864406779661016,927,118,118
3,Education Review Sentiment: sq_transformer_trainable_embedding: 1,2023-05-08 11:26:50.608427,00:02:53,9,"transformer_trainable_embedding, label",0.7190375302663438,0.7184930574761083,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.6107142857142857,0.645730812397479,0.6049412915851272,0.7372881355932204,927,118,118
4,Education Review Sentiment: sq_transformer_trainable_embedding: 1,2023-05-24 11:42:13.654181,00:02:52,9,"transformer_trainable_embedding, label",0.7190375302663438,0.7184930574761083,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.6107142857142857,0.645730812397479,0.6049412915851272,0.7372881355932204,927,118,118
5,Education Review Sentiment: en_glove_50_embedding: 1,2023-05-08 11:17:43.179741,00:00:32,78,"glove_50_embedding, emotion, topic, label",0.7380035946825827,0.7484642094017094,0.765625,0.765625,0.765625,0.765625,0.5752095014167721,0.6766381766381766,0.5518518518518518,0.765625,496,64,64
6,Education Review Sentiment: albanian add emotion topic: 1,2023-05-24 11:47:19.318456,00:01:19,3,"emotion, transformer_trainable_embedding, topic, label",0.581926548028243,0.7391540973410046,0.6694915254237288,0.6694915254237288,0.6694915254237288,0.6694915254237288,0.419039294039294,0.8035168195718655,0.42797347249402046,0.6694915254237288,927,118,118
7,Education Review Sentiment: en_transformer_trainable_embedding: 1,2023-05-08 11:18:56.705235,00:01:29,13,"transformer_trainable_embedding, label",0.665969056802244,0.6636117788461539,0.6875,0.6875,0.6875,0.6875,0.47288452547919596,0.5032051282051282,0.4851851851851852,0.6875,496,64,64
8,Education Review Sentiment: en_glove_50_embedding: 1,2023-05-24 11:31:20.780383,00:00:32,78,"glove_50_embedding, emotion, topic, label",0.7380035946825827,0.7484642094017094,0.765625,0.765625,0.765625,0.765625,0.5752095014167721,0.6766381766381766,0.5518518518518518,0.765625,496,64,64
9,Education Review Sentiment: sq_transformer_trainable_embedding: 1,2023-05-08 11:30:25.218161,00:01:36,4,"transformer_trainable_embedding, label",0.4648013631064478,0.3786528345996493,0.6016949152542372,0.6016949152542372,0.6016949152542372,0.6016949152542372,0.25044091710758376,0.2040229885057471,0.3242009132420091,0.6016949152542372,927,118,118
10,Education Review Sentiment: en_transformer_trainable_embedding: 1,2023-05-24 11:34:24.935365,00:01:59,12,"emotion, transformer_trainable_embedding, topic, label",0.5805619266055047,0.494384765625,0.703125,0.703125,0.703125,0.703125,0.27522935779816515,0.234375,0.3333333333333333,0.703125,496,64,64
11,Education Review Sentiment: en_transformer_trainable_embedding: 1,2023-05-24 11:32:38.628157,00:01:29,13,"transformer_trainable_embedding, label",0.665969056802244,0.6636117788461539,0.6875,0.6875,0.6875,0.6875,0.47288452547919596,0.5032051282051282,0.4851851851851852,0.6875,496,64,64
12,Education Review Sentiment: en_transformer_trainable_embedding: 1,2023-05-08 11:20:40.547240,00:01:58,12,"transformer_trainable_embedding, emotion, topic, label",0.5805619266055047,0.494384765625,0.703125,0.703125,0.703125,0.703125,0.27522935779816515,0.234375,0.3333333333333333,0.703125,496,64,64
13,Education Review Sentiment: sq_transformer_trainable_embedding: 1,2023-05-24 11:45:45.303990,00:01:20,3,"transformer_trainable_embedding, label",0.6014820931479794,0.7543157564344005,0.6864406779661016,0.6864406779661016,0.6864406779661016,0.6864406779661016,0.4405937831352196,0.8179012345679012,0.44642857142857145,0.6864406779661016,927,118,118
14,Education Review Sentiment: sq_transformer_trainable_embedding: 1,2023-05-24 11:37:08.798557,00:02:54,9,"transformer_trainable_embedding, label",0.6505750605326877,0.6689725083123834,0.6864406779661016,0.6864406779661016,0.6864406779661016,0.6864406779661016,0.5390211640211641,0.6391281233386495,0.5122852794085672,0.6864406779661016,927,118,118
15,Education Review Sentiment: en_fasttext_news_300_embedding: 1,2023-05-08 11:18:23.062148,00:00:24,43,"fasttext_news_300_embedding, emotion, topic, label",0.7154398336038961,0.7207971256684492,0.75,0.75,0.75,0.75,0.5358044733044732,0.6164587046939988,0.5407407407407407,0.75,496,64,64
